Headline,Date,Sentiment
[Removed],2023-09-03T19:37:17.670787Z,0.0
Kevin Costner’s Accountant Alleges Christine Baumgartner Pays a Jaw-Dropping Monthly Amount on Designer Clothes - Yahoo Entertainment,2023-09-03T16:07:18.7636267Z,0.0
"Having opposed the EU rule originally, Apple will now gaslight you about USB-C for iPhone - PhoneArena",2023-09-03T15:22:24.2012744Z,0.375
Minnesota prison on emergency lockdown after about 100 inmates 'refuse' to return to cells - ABC News,2023-09-03T14:52:16.8110553Z,0.0
"Top 5 Neuroscience Discoveries of the Week - September 3, 2023 - Neuroscience News",2023-09-03T09:07:16.7329895Z,0.5
Wisconsin deer farm infected with fatal brain disease - Fox News,2023-09-03T08:07:19.0934581Z,0.0
[Removed],2023-09-03T07:07:17.7202235Z,0.0
[Removed],2023-09-03T03:22:13.7768817Z,0.0
Joe Jonas and Sophie Turner Heading For Divorce: Report - Consequence,2023-09-03T00:07:14.8241236Z,0.0
"Final 8 FIBA World Cup teams still alive, ranked by their championship chances - SB Nation",2023-09-03T00:07:13.0321668Z,0.05
